Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"KR.01_Stat","DB704.DBW12",Word,1,R/W,100,,,,,,,,,,"",
"KR.01_Pos","DB704.DBD16",Float,1,R/W,100,,,,,,,,,,"",

"KR.02_Stat","DB704.DBW92",Word,1,R/W,100,,,,,,,,,,"",
"KR.02_Pos","DB704.DBD96",Float,1,R/W,100,,,,,,,,,,"",

"KR.03_Stat","DB704.DBW172",Word,1,R/W,100,,,,,,,,,,"",
"KR.03_Pos","DB704.DBD176",Float,1,R/W,100,,,,,,,,,,"",

"KR.04_Stat","DB704.DBW252",Word,1,R/W,100,,,,,,,,,,"",
"KR.04_Pos","DB704.DBD256",Float,1,R/W,100,,,,,,,,,,"",

"KR.05_Stat","DB704.DBW332",Word,1,R/W,100,,,,,,,,,,"",
"KR.05_Pos","DB704.DBD336",Float,1,R/W,100,,,,,,,,,,"",

"KR.06_Stat","DB704.DBW412",Word,1,R/W,100,,,,,,,,,,"",
"KR.06_Pos","DB704.DBD416",Float,1,R/W,100,,,,,,,,,,"",

"KR.07_Stat","DB704.DBW492",Word,1,R/W,100,,,,,,,,,,"",
"KR.07_Pos","DB704.DBD496",Float,1,R/W,100,,,,,,,,,,"",

"KR.08_Stat","DB704.DBW572",Word,1,R/W,100,,,,,,,,,,"",
"KR.08_Pos","DB704.DBD576",Float,1,R/W,100,,,,,,,,,,"",

"KR.09_Stat","DB704.DBW652",Word,1,R/W,100,,,,,,,,,,"",
"KR.09_Pos","DB704.DBD656",Float,1,R/W,100,,,,,,,,,,"",

"KR.10_Stat","DB704.DBW732",Word,1,R/W,100,,,,,,,,,,"",
"KR.10_Pos","DB704.DBD736",Float,1,R/W,100,,,,,,,,,,"",

"KR.11_Stat","DB704.DBW812",Word,1,R/W,100,,,,,,,,,,"",
"KR.11_Pos","DB704.DBD816",Float,1,R/W,100,,,,,,,,,,"",

"KR.12_Stat","DB704.DBW892",Word,1,R/W,100,,,,,,,,,,"",
"KR.12_Pos","DB704.DBD896",Float,1,R/W,100,,,,,,,,,,"",

"KR.13_Stat","DB704.DBW972",Word,1,R/W,100,,,,,,,,,,"",
"KR.13_Pos","DB704.DBD976",Float,1,R/W,100,,,,,,,,,,"",

"KR.14_Stat","DB704.DBW1052",Word,1,R/W,100,,,,,,,,,,"",
"KR.14_Pos","DB704.DBD1056",Float,1,R/W,100,,,,,,,,,,"",

"KR.15_Stat","DB704.DBW1132",Word,1,R/W,100,,,,,,,,,,"",
"KR.15_Pos","DB704.DBD1136",Float,1,R/W,100,,,,,,,,,,"",

"KR.16_Stat","DB704.DBW1212",Word,1,R/W,100,,,,,,,,,,"",
"KR.16_Pos","DB704.DBD1216",Float,1,R/W,100,,,,,,,,,,"",

"KR.17_Stat","DB704.DBW1292",Word,1,R/W,100,,,,,,,,,,"",
"KR.17_Pos","DB704.DBD1296",Float,1,R/W,100,,,,,,,,,,"",

"KR.18_Stat","DB704.DBW1372",Word,1,R/W,100,,,,,,,,,,"",
"KR.18_Pos","DB704.DBD1376",Float,1,R/W,100,,,,,,,,,,"",

"KR.19_Stat","DB704.DBW1452",Word,1,R/W,100,,,,,,,,,,"",
"KR.19_Pos","DB704.DBD1456",Float,1,R/W,100,,,,,,,,,,"",

"KR.20_Stat","DB704.DBW1532",Word,1,R/W,100,,,,,,,,,,"",
"KR.20_Pos","DB704.DBD1536",Float,1,R/W,100,,,,,,,,,,"",

"KR.21_Stat","DB704.DBW1612",Word,1,R/W,100,,,,,,,,,,"",
"KR.21_Pos","DB704.DBD1616",Float,1,R/W,100,,,,,,,,,,"",

"KR.22_Stat","DB704.DBW1692",Word,1,R/W,100,,,,,,,,,,"",
"KR.22_Pos","DB704.DBD1696",Float,1,R/W,100,,,,,,,,,,"",

"KR.23_Stat","DB704.DBW1772",Word,1,R/W,100,,,,,,,,,,"",
"KR.23_Pos","DB704.DBD1776",Float,1,R/W,100,,,,,,,,,,"",

"KR.24_Stat","DB704.DBW1852",Word,1,R/W,100,,,,,,,,,,"",
"KR.24_Pos","DB704.DBD1856",Float,1,R/W,100,,,,,,,,,,"",

"KR.25_Stat","DB704.DBW1932",Word,1,R/W,100,,,,,,,,,,"",
"KR.25_Pos","DB704.DBD1936",Float,1,R/W,100,,,,,,,,,,"",

"KR.26_Stat","DB704.DBW2012",Word,1,R/W,100,,,,,,,,,,"",
"KR.26_Pos","DB704.DBD2016",Float,1,R/W,100,,,,,,,,,,"",

"KR.27_Stat","DB704.DBW2092",Word,1,R/W,100,,,,,,,,,,"",
"KR.27_Pos","DB704.DBD2096",Float,1,R/W,100,,,,,,,,,,"",

"KR.28_Stat","DB704.DBW2172",Word,1,R/W,100,,,,,,,,,,"",
"KR.28_Pos","DB704.DBD2176",Float,1,R/W,100,,,,,,,,,,"",

"KR.29_Stat","DB704.DBW2252",Word,1,R/W,100,,,,,,,,,,"",
