Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"DI.01_Val","DB703.DBX0.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.01_Nch","DB703.INT2",Word,1,R/W,100,,,,,,,,,,"",
"DI.01_ImitOn","DB703.DBX4.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.01_ImitOff","DB703.DBX4.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.01_HotChange","DB703.DBX4.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.02_Val","DB703.DBX6.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.02_Nch","DB703.INT8",Word,1,R/W,100,,,,,,,,,,"",
"DI.02_ImitOn","DB703.DBX10.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.02_ImitOff","DB703.DBX10.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.02_HotChange","DB703.DBX10.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.03_Val","DB703.DBX12.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.03_Nch","DB703.INT14",Word,1,R/W,100,,,,,,,,,,"",
"DI.03_ImitOn","DB703.DBX16.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.03_ImitOff","DB703.DBX16.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.03_HotChange","DB703.DBX16.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.04_Val","DB703.DBX18.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.04_Nch","DB703.INT20",Word,1,R/W,100,,,,,,,,,,"",
"DI.04_ImitOn","DB703.DBX22.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.04_ImitOff","DB703.DBX22.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.04_HotChange","DB703.DBX22.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.05_Val","DB703.DBX24.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.05_Nch","DB703.INT26",Word,1,R/W,100,,,,,,,,,,"",
"DI.05_ImitOn","DB703.DBX28.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.05_ImitOff","DB703.DBX28.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.05_HotChange","DB703.DBX28.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.06_Val","DB703.DBX30.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.06_Nch","DB703.INT32",Word,1,R/W,100,,,,,,,,,,"",
"DI.06_ImitOn","DB703.DBX34.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.06_ImitOff","DB703.DBX34.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.06_HotChange","DB703.DBX34.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.07_Val","DB703.DBX36.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.07_Nch","DB703.INT38",Word,1,R/W,100,,,,,,,,,,"",
"DI.07_ImitOn","DB703.DBX40.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.07_ImitOff","DB703.DBX40.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.07_HotChange","DB703.DBX40.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.08_Val","DB703.DBX42.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.08_Nch","DB703.INT44",Word,1,R/W,100,,,,,,,,,,"",
"DI.08_ImitOn","DB703.DBX46.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.08_ImitOff","DB703.DBX46.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.08_HotChange","DB703.DBX46.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.09_Val","DB703.DBX48.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.09_Nch","DB703.INT50",Word,1,R/W,100,,,,,,,,,,"",
"DI.09_ImitOn","DB703.DBX52.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.09_ImitOff","DB703.DBX52.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.09_HotChange","DB703.DBX52.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.10_Val","DB703.DBX54.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.10_Nch","DB703.INT56",Word,1,R/W,100,,,,,,,,,,"",
"DI.10_ImitOn","DB703.DBX58.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.10_ImitOff","DB703.DBX58.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.10_HotChange","DB703.DBX58.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.11_Val","DB703.DBX60.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.11_Nch","DB703.INT62",Word,1,R/W,100,,,,,,,,,,"",
"DI.11_ImitOn","DB703.DBX64.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.11_ImitOff","DB703.DBX64.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.11_HotChange","DB703.DBX64.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.12_Val","DB703.DBX66.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.12_Nch","DB703.INT68",Word,1,R/W,100,,,,,,,,,,"",
"DI.12_ImitOn","DB703.DBX70.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.12_ImitOff","DB703.DBX70.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.12_HotChange","DB703.DBX70.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.13_Val","DB703.DBX72.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.13_Nch","DB703.INT74",Word,1,R/W,100,,,,,,,,,,"",
"DI.13_ImitOn","DB703.DBX76.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.13_ImitOff","DB703.DBX76.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.13_HotChange","DB703.DBX76.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.14_Val","DB703.DBX78.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.14_Nch","DB703.INT80",Word,1,R/W,100,,,,,,,,,,"",
"DI.14_ImitOn","DB703.DBX82.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.14_ImitOff","DB703.DBX82.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.14_HotChange","DB703.DBX82.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.15_Val","DB703.DBX84.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.15_Nch","DB703.INT86",Word,1,R/W,100,,,,,,,,,,"",
"DI.15_ImitOn","DB703.DBX88.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.15_ImitOff","DB703.DBX88.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.15_HotChange","DB703.DBX88.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.16_Val","DB703.DBX90.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.16_Nch","DB703.INT92",Word,1,R/W,100,,,,,,,,,,"",
"DI.16_ImitOn","DB703.DBX94.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.16_ImitOff","DB703.DBX94.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.16_HotChange","DB703.DBX94.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.17_Val","DB703.DBX96.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.17_Nch","DB703.INT98",Word,1,R/W,100,,,,,,,,,,"",
"DI.17_ImitOn","DB703.DBX100.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.17_ImitOff","DB703.DBX100.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.17_HotChange","DB703.DBX100.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.18_Val","DB703.DBX102.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.18_Nch","DB703.INT104",Word,1,R/W,100,,,,,,,,,,"",
"DI.18_ImitOn","DB703.DBX106.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.18_ImitOff","DB703.DBX106.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.18_HotChange","DB703.DBX106.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.19_Val","DB703.DBX108.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.19_Nch","DB703.INT110",Word,1,R/W,100,,,,,,,,,,"",
"DI.19_ImitOn","DB703.DBX112.0",Boolean,1,R/W,100,,,,,,,,,,"",
