Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"DO.01_Val","DB705.DBX0.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.01_Nch","DB705.INT2",Word,1,R/W,100,,,,,,,,,,"",
"DO.01_ImitOn","DB705.DBX4.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.01_ImitOff","DB705.DBX4.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.02_Val","DB705.DBX6.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.02_Nch","DB705.INT8",Word,1,R/W,100,,,,,,,,,,"",
"DO.02_ImitOn","DB705.DBX10.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.02_ImitOff","DB705.DBX10.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.03_Val","DB705.DBX12.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.03_Nch","DB705.INT14",Word,1,R/W,100,,,,,,,,,,"",
"DO.03_ImitOn","DB705.DBX16.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.03_ImitOff","DB705.DBX16.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.04_Val","DB705.DBX18.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.04_Nch","DB705.INT20",Word,1,R/W,100,,,,,,,,,,"",
"DO.04_ImitOn","DB705.DBX22.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.04_ImitOff","DB705.DBX22.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.05_Val","DB705.DBX24.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.05_Nch","DB705.INT26",Word,1,R/W,100,,,,,,,,,,"",
"DO.05_ImitOn","DB705.DBX28.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.05_ImitOff","DB705.DBX28.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.06_Val","DB705.DBX30.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.06_Nch","DB705.INT32",Word,1,R/W,100,,,,,,,,,,"",
"DO.06_ImitOn","DB705.DBX34.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.06_ImitOff","DB705.DBX34.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.07_Val","DB705.DBX36.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.07_Nch","DB705.INT38",Word,1,R/W,100,,,,,,,,,,"",
"DO.07_ImitOn","DB705.DBX40.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.07_ImitOff","DB705.DBX40.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.08_Val","DB705.DBX42.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.08_Nch","DB705.INT44",Word,1,R/W,100,,,,,,,,,,"",
"DO.08_ImitOn","DB705.DBX46.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.08_ImitOff","DB705.DBX46.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.09_Val","DB705.DBX48.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.09_Nch","DB705.INT50",Word,1,R/W,100,,,,,,,,,,"",
"DO.09_ImitOn","DB705.DBX52.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.09_ImitOff","DB705.DBX52.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.10_Val","DB705.DBX54.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.10_Nch","DB705.INT56",Word,1,R/W,100,,,,,,,,,,"",
"DO.10_ImitOn","DB705.DBX58.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.10_ImitOff","DB705.DBX58.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.11_Val","DB705.DBX60.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.11_Nch","DB705.INT62",Word,1,R/W,100,,,,,,,,,,"",
"DO.11_ImitOn","DB705.DBX64.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.11_ImitOff","DB705.DBX64.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.12_Val","DB705.DBX66.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.12_Nch","DB705.INT68",Word,1,R/W,100,,,,,,,,,,"",
"DO.12_ImitOn","DB705.DBX70.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.12_ImitOff","DB705.DBX70.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.13_Val","DB705.DBX72.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DO.13_Nch","DB705.INT74",Word,1,R/W,100,,,,,,,,,,"",
"DO.13_ImitOn","DB705.DBX76.0",Boolean,1,R/W,100,,,,,,,,,,"",
