Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"KR.01_StatCMD","DB704.DBW12",Word,1,R/W,100,,,,,,,,,,"",
"KR.01_Pos","DB704.DBD16",Float,1,R/W,100,,,,,,,,,,"",
"KR.01_PosSP","DB704.DBD20",Float,1,R/W,100,,,,,,,,,,"",
"KR.02_StatCMD","DB704.DBW112",Word,1,R/W,100,,,,,,,,,,"",
"KR.02_Pos","DB704.DBD116",Float,1,R/W,100,,,,,,,,,,"",
"KR.02_PosSP","DB704.DBD120",Float,1,R/W,100,,,,,,,,,,"",
"KR.03_StatCMD","DB704.DBW212",Word,1,R/W,100,,,,,,,,,,"",
"KR.03_Pos","DB704.DBD216",Float,1,R/W,100,,,,,,,,,,"",
"KR.03_PosSP","DB704.DBD220",Float,1,R/W,100,,,,,,,,,,"",
"KR.04_StatCMD","DB704.DBW312",Word,1,R/W,100,,,,,,,,,,"",
"KR.04_Pos","DB704.DBD316",Float,1,R/W,100,,,,,,,,,,"",
"KR.04_PosSP","DB704.DBD320",Float,1,R/W,100,,,,,,,,,,"",
"KR.05_StatCMD","DB704.DBW412",Word,1,R/W,100,,,,,,,,,,"",
"KR.05_Pos","DB704.DBD416",Float,1,R/W,100,,,,,,,,,,"",
"KR.05_PosSP","DB704.DBD420",Float,1,R/W,100,,,,,,,,,,"",
"KR.06_StatCMD","DB704.DBW512",Word,1,R/W,100,,,,,,,,,,"",
"KR.06_Pos","DB704.DBD516",Float,1,R/W,100,,,,,,,,,,"",
"KR.06_PosSP","DB704.DBD520",Float,1,R/W,100,,,,,,,,,,"",
"KR.07_StatCMD","DB704.DBW612",Word,1,R/W,100,,,,,,,,,,"",
"KR.07_Pos","DB704.DBD616",Float,1,R/W,100,,,,,,,,,,"",
"KR.07_PosSP","DB704.DBD620",Float,1,R/W,100,,,,,,,,,,"",
"KR.08_StatCMD","DB704.DBW712",Word,1,R/W,100,,,,,,,,,,"",
"KR.08_Pos","DB704.DBD716",Float,1,R/W,100,,,,,,,,,,"",
"KR.08_PosSP","DB704.DBD720",Float,1,R/W,100,,,,,,,,,,"",
"KR.09_StatCMD","DB704.DBW812",Word,1,R/W,100,,,,,,,,,,"",
"KR.09_Pos","DB704.DBD816",Float,1,R/W,100,,,,,,,,,,"",
"KR.09_PosSP","DB704.DBD820",Float,1,R/W,100,,,,,,,,,,"",
"KR.10_StatCMD","DB704.DBW912",Word,1,R/W,100,,,,,,,,,,"",
"KR.10_Pos","DB704.DBD916",Float,1,R/W,100,,,,,,,,,,"",
"KR.10_PosSP","DB704.DBD920",Float,1,R/W,100,,,,,,,,,,"",
"KR.11_StatCMD","DB704.DBW1012",Word,1,R/W,100,,,,,,,,,,"",
"KR.11_Pos","DB704.DBD1016",Float,1,R/W,100,,,,,,,,,,"",
"KR.11_PosSP","DB704.DBD1020",Float,1,R/W,100,,,,,,,,,,"",
"KR.12_StatCMD","DB704.DBW1112",Word,1,R/W,100,,,,,,,,,,"",
"KR.12_Pos","DB704.DBD1116",Float,1,R/W,100,,,,,,,,,,"",
"KR.12_PosSP","DB704.DBD1120",Float,1,R/W,100,,,,,,,,,,"",
"KR.13_StatCMD","DB704.DBW1212",Word,1,R/W,100,,,,,,,,,,"",
"KR.13_Pos","DB704.DBD1216",Float,1,R/W,100,,,,,,,,,,"",
"KR.13_PosSP","DB704.DBD1220",Float,1,R/W,100,,,,,,,,,,"",
"KR.14_StatCMD","DB704.DBW1312",Word,1,R/W,100,,,,,,,,,,"",
"KR.14_Pos","DB704.DBD1316",Float,1,R/W,100,,,,,,,,,,"",
