Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Reg.01_Uk","DB702.DBD0",Float,1,R/W,100,,,,,,,,,,"",
"Reg.01_Ek","DB702.DBD8",Float,1,R/W,100,,,,,,,,,,"",
"Reg.01_Stat","DB702.DBW30",Word,1,R/W,100,,,,,,,,,,"",
"Reg.01_Sp","DB702.DBD32",Float,1,R/W,100,,,,,,,,,,"",
"Reg.01_Pv","DB702.DBD36",Float,1,R/W,100,,,,,,,,,,"",
"Reg.01_Ku","DB702.DBD40",Float,1,R/W,100,,,,,,,,,,"",
"Reg.01_Ti","DB702.DBD44",Float,1,R/W,100,,,,,,,,,,"",
"Reg.01_Zone","DB702.DBD48",Float,1,R/W,100,,,,,,,,,,"",
"Reg.01_CompA","DB702.DBD52",Float,1,R/W,100,,,,,,,,,,"",
"Reg.01_CompB","DB702.DBD56",Float,1,R/W,100,,,,,,,,,,"",
"Reg.02_Uk","DB702.DBD84",Float,1,R/W,100,,,,,,,,,,"",
"Reg.02_Ek","DB702.DBD92",Float,1,R/W,100,,,,,,,,,,"",
"Reg.02_Stat","DB702.DBW114",Word,1,R/W,100,,,,,,,,,,"",
"Reg.02_Sp","DB702.DBD116",Float,1,R/W,100,,,,,,,,,,"",
"Reg.02_Pv","DB702.DBD120",Float,1,R/W,100,,,,,,,,,,"",
"Reg.02_Ku","DB702.DBD124",Float,1,R/W,100,,,,,,,,,,"",
"Reg.02_Ti","DB702.DBD128",Float,1,R/W,100,,,,,,,,,,"",
"Reg.02_Zone","DB702.DBD132",Float,1,R/W,100,,,,,,,,,,"",
"Reg.02_CompA","DB702.DBD136",Float,1,R/W,100,,,,,,,,,,"",
"Reg.02_CompB","DB702.DBD140",Float,1,R/W,100,,,,,,,,,,"",
"Reg.03_Uk","DB702.DBD168",Float,1,R/W,100,,,,,,,,,,"",
"Reg.03_Ek","DB702.DBD176",Float,1,R/W,100,,,,,,,,,,"",
"Reg.03_Stat","DB702.DBW198",Word,1,R/W,100,,,,,,,,,,"",
"Reg.03_Sp","DB702.DBD200",Float,1,R/W,100,,,,,,,,,,"",
"Reg.03_Pv","DB702.DBD204",Float,1,R/W,100,,,,,,,,,,"",
"Reg.03_Ku","DB702.DBD208",Float,1,R/W,100,,,,,,,,,,"",
"Reg.03_Ti","DB702.DBD212",Float,1,R/W,100,,,,,,,,,,"",
"Reg.03_Zone","DB702.DBD216",Float,1,R/W,100,,,,,,,,,,"",
"Reg.03_CompA","DB702.DBD220",Float,1,R/W,100,,,,,,,,,,"",
"Reg.03_CompB","DB702.DBD224",Float,1,R/W,100,,,,,,,,,,"",
"Reg.04_Uk","DB702.DBD252",Float,1,R/W,100,,,,,,,,,,"",
"Reg.04_Ek","DB702.DBD260",Float,1,R/W,100,,,,,,,,,,"",
"Reg.04_Stat","DB702.DBW282",Word,1,R/W,100,,,,,,,,,,"",
"Reg.04_Sp","DB702.DBD284",Float,1,R/W,100,,,,,,,,,,"",
"Reg.04_Pv","DB702.DBD288",Float,1,R/W,100,,,,,,,,,,"",
"Reg.04_Ku","DB702.DBD292",Float,1,R/W,100,,,,,,,,,,"",
"Reg.04_Ti","DB702.DBD296",Float,1,R/W,100,,,,,,,,,,"",
"Reg.04_Zone","DB702.DBD300",Float,1,R/W,100,,,,,,,,,,"",
"Reg.04_CompA","DB702.DBD304",Float,1,R/W,100,,,,,,,,,,"",
"Reg.04_CompB","DB702.DBD308",Float,1,R/W,100,,,,,,,,,,"",
"Reg.05_Uk","DB702.DBD336",Float,1,R/W,100,,,,,,,,,,"",
"Reg.05_Ek","DB702.DBD344",Float,1,R/W,100,,,,,,,,,,"",
"Reg.05_Stat","DB702.DBW366",Word,1,R/W,100,,,,,,,,,,"",
"Reg.05_Sp","DB702.DBD368",Float,1,R/W,100,,,,,,,,,,"",
"Reg.05_Pv","DB702.DBD372",Float,1,R/W,100,,,,,,,,,,"",
"Reg.05_Ku","DB702.DBD376",Float,1,R/W,100,,,,,,,,,,"",
"Reg.05_Ti","DB702.DBD380",Float,1,R/W,100,,,,,,,,,,"",
"Reg.05_Zone","DB702.DBD384",Float,1,R/W,100,,,,,,,,,,"",
"Reg.05_CompA","DB702.DBD388",Float,1,R/W,100,,,,,,,,,,"",
"Reg.05_CompB","DB702.DBD392",Float,1,R/W,100,,,,,,,,,,"",
"Reg.06_Uk","DB702.DBD420",Float,1,R/W,100,,,,,,,,,,"",
"Reg.06_Ek","DB702.DBD428",Float,1,R/W,100,,,,,,,,,,"",
"Reg.06_Stat","DB702.DBW450",Word,1,R/W,100,,,,,,,,,,"",
"Reg.06_Sp","DB702.DBD452",Float,1,R/W,100,,,,,,,,,,"",
"Reg.06_Pv","DB702.DBD456",Float,1,R/W,100,,,,,,,,,,"",
"Reg.06_Ku","DB702.DBD460",Float,1,R/W,100,,,,,,,,,,"",
"Reg.06_Ti","DB702.DBD464",Float,1,R/W,100,,,,,,,,,,"",
"Reg.06_Zone","DB702.DBD468",Float,1,R/W,100,,,,,,,,,,"",
"Reg.06_CompA","DB702.DBD472",Float,1,R/W,100,,,,,,,,,,"",
"Reg.06_CompB","DB702.DBD476",Float,1,R/W,100,,,,,,,,,,"",
"Reg.07_Uk","DB702.DBD504",Float,1,R/W,100,,,,,,,,,,"",
"Reg.07_Ek","DB702.DBD512",Float,1,R/W,100,,,,,,,,,,"",
"Reg.07_Stat","DB702.DBW534",Word,1,R/W,100,,,,,,,,,,"",
"Reg.07_Sp","DB702.DBD536",Float,1,R/W,100,,,,,,,,,,"",
"Reg.07_Pv","DB702.DBD540",Float,1,R/W,100,,,,,,,,,,"",
"Reg.07_Ku","DB702.DBD544",Float,1,R/W,100,,,,,,,,,,"",
"Reg.07_Ti","DB702.DBD548",Float,1,R/W,100,,,,,,,,,,"",
"Reg.07_Zone","DB702.DBD552",Float,1,R/W,100,,,,,,,,,,"",
"Reg.07_CompA","DB702.DBD556",Float,1,R/W,100,,,,,,,,,,"",
"Reg.07_CompB","DB702.DBD560",Float,1,R/W,100,,,,,,,,,,"",
"Reg.08_Uk","DB702.DBD588",Float,1,R/W,100,,,,,,,,,,"",
"Reg.08_Ek","DB702.DBD596",Float,1,R/W,100,,,,,,,,,,"",
"Reg.08_Stat","DB702.DBW618",Word,1,R/W,100,,,,,,,,,,"",
"Reg.08_Sp","DB702.DBD620",Float,1,R/W,100,,,,,,,,,,"",
"Reg.08_Pv","DB702.DBD624",Float,1,R/W,100,,,,,,,,,,"",
"Reg.08_Ku","DB702.DBD628",Float,1,R/W,100,,,,,,,,,,"",
"Reg.08_Ti","DB702.DBD632",Float,1,R/W,100,,,,,,,,,,"",
"Reg.08_Zone","DB702.DBD636",Float,1,R/W,100,,,,,,,,,,"",
"Reg.08_CompA","DB702.DBD640",Float,1,R/W,100,,,,,,,,,,"",
"Reg.08_CompB","DB702.DBD644",Float,1,R/W,100,,,,,,,,,,"",
"Reg.09_Uk","DB702.DBD672",Float,1,R/W,100,,,,,,,,,,"",
"Reg.09_Ek","DB702.DBD680",Float,1,R/W,100,,,,,,,,,,"",
"Reg.09_Stat","DB702.DBW702",Word,1,R/W,100,,,,,,,,,,"",
"Reg.09_Sp","DB702.DBD704",Float,1,R/W,100,,,,,,,,,,"",
"Reg.09_Pv","DB702.DBD708",Float,1,R/W,100,,,,,,,,,,"",
"Reg.09_Ku","DB702.DBD712",Float,1,R/W,100,,,,,,,,,,"",
"Reg.09_Ti","DB702.DBD716",Float,1,R/W,100,,,,,,,,,,"",
"Reg.09_Zone","DB702.DBD720",Float,1,R/W,100,,,,,,,,,,"",
"Reg.09_CompA","DB702.DBD724",Float,1,R/W,100,,,,,,,,,,"",
"Reg.09_CompB","DB702.DBD728",Float,1,R/W,100,,,,,,,,,,"",
"Reg.10_Uk","DB702.DBD756",Float,1,R/W,100,,,,,,,,,,"",
"Reg.10_Ek","DB702.DBD764",Float,1,R/W,100,,,,,,,,,,"",
"Reg.10_Stat","DB702.DBW786",Word,1,R/W,100,,,,,,,,,,"",
"Reg.10_Sp","DB702.DBD788",Float,1,R/W,100,,,,,,,,,,"",
